feature,importance
home_win_pct,0.0
away_fg3_pct,0.0
away_points_allowed,0.0
away_blk,0.0
home_points_allowed,0.0
away__points_allowed,0.0
home_away_points_allowed,0.0
win_pct_diff,0.0
ppg_diff,0.0
away_is_back_to_back,0.0
away_win_pct,0.0
away_losses,0.0
away_wins,0.0
away_tov_rate,0.0
away_efg_pct,0.0
away_ts_pct,0.0
away_tov,0.0
away_stl,0.0
away_fgm,0.0
away_ast,0.0
away_reb,0.0
away_dreb,0.0
away_oreb,0.0
away_ft_rate,0.0
away_ft_pct,0.0
away_fta,0.0
away_ftm,0.0
home_home_points_allowed,0.0
away_fg3a,0.0
away_fg3m,0.0
away_fg_pct,0.0
away_fga,0.0
home_ppg,0.0
